size_bytes,size_human,path,id,mimeType
2140332555,2.0 GB,CURSOS/ASIMOV/Formações em Python & Inteligência Artificial/Formações em Python & Inteligência Artificial-20260529T103415Z-3-005.zip,1Kq9ek9jy2Lm3eGRjb7YN7StRWlbLhFDD,application/zip
2140163836,2.0 GB,CURSOS/ASIMOV/Formações em Python & Inteligência Artificial/Formações em Python & Inteligência Artificial-20260529T103415Z-3-012.zip,1XQg9NbgRuLYesWH0t5_FN-LwqapEYlAj,application/zip
2139805346,2.0 GB,CURSOS/ASIMOV/07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-003.zip,1wflH2C7NudLWKN_88E51Qpbl4wF1rg8n,application/zip
2139652464,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA-20260528T150600Z-3-019.zip,1zlqAeDBIhs2y8fIVF2CF3TdA8IdN-jlZ,application/zip
2139652464,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260528T150600Z-3-019.zip,16XHaqStZD8OkZaKSkEBgjVLcY9-aFQvr,application/zip
2139652464,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260528T150600Z-3-019.zip,1_Mq8ur--L4OzlmJAnPw1XdC8UZac86xH,application/zip
2138058551,2.0 GB,CURSOS/ASIMOV/07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-004.zip,1ObzAa8M6R-Oy9T5Cdrpe4BLPbHveJG4M,application/zip
2137747700,2.0 GB,CURSOS/ASIMOV/05 - [TRILHA] Python Office - Automações com Python-20260529T114723Z-3-001.zip,1KAPtTzCnDWM_AZLGDb-phC_HU5-kbtf6,application/zip
2137410831,2.0 GB,CURSOS/ASIMOV/Formações em Python & Inteligência Artificial/Formações em Python & Inteligência Artificial-20260529T103415Z-3-013.zip,1LzEGzgzCkMq9MHKzejkiJK5gnTS8uxJl,application/zip
2135761864,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-011.zip,1JjPntq7OfTlW1RnSaP-Zizjy3cAnKeGF,application/zip
2135761864,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-011.zip,1Dmr66z1KFNyKO0ca4osmkT6IeENhNuoV,application/zip
