grupo,nome_normalizado,size,ocorrencias,path,id,mimeType
1,leia-me.pdf,154159,26,JADIELSON/EBOOK's/LEIA-ME (1).pdf,1BItenyifluoT_ppZNx6G_rqyxDfOpM6y,application/pdf
1,leia-me.pdf,154159,26,CURSOS/💻 Curso Viver De Youtube - Peter Jordan/01. Introdução e Boas Vindas/LEIA-ME (1).pdf,1rC7WHi_zfTwNElnJ3eiTJM2S1vQVlfpd,application/pdf
1,leia-me.pdf,154159,26,CURSOS/💻 Curso Viver De Youtube - Peter Jordan/01. Introdução e Boas Vindas/LEIA-ME.pdf,1WTD-p5aPFTRdbZHa77vU0lqh86gc9G_X,application/pdf
1,leia-me.pdf,154159,26,CURSOS/💻 Curso Viver De Youtube - Peter Jordan/02. Mindset do Youtuber/LEIA-ME (1).pdf,1cVvJg6K3JY41Quc76rWSVF49-bm45O6Z,application/pdf
1,leia-me.pdf,154159,26,CURSOS/💻 Curso Viver De Youtube - Peter Jordan/02. Mindset do Youtuber/LEIA-ME.pdf,1Yd-PF8kCzzxbXZHDj4SzA9tACvUvT9iJ,application/pdf
1,leia-me.pdf,154159,26,CURSOS/💻 Curso Viver De Youtube - Peter Jordan/03. Visão Geral e Conhecendo a Plataforma/LEIA-ME (1).pdf,1ORgs20Zg8TlwqpnKCIrFhkWmtQTelO2v,application/pdf
1,leia-me.pdf,154159,26,CURSOS/💻 Curso Viver De Youtube - Peter Jordan/03. Visão Geral e Conhecendo a Plataforma/LEIA-ME.pdf,1R3zcjM1E9WkYvzLe10SnMUXpDJSpMT-8,application/pdf
1,leia-me.pdf,154159,26,CURSOS/💻 Curso Viver De Youtube - Peter Jordan/04. Definindo Nicho do Seu Canal/LEIA-ME (1).pdf,1bioOZi1zy9YDcaEAKM2MHAyV_wzrtKms,application/pdf
1,leia-me.pdf,154159,26,CURSOS/💻 Curso Viver De Youtube - Peter Jordan/04. Definindo Nicho do Seu Canal/LEIA-ME.pdf,1geIf6IPsgyLyBPCWUUJj4ymKyqENulIK,application/pdf
1,leia-me.pdf,154159,26,CURSOS/💻 Curso Viver De Youtube - Peter Jordan/05. Criando Seu Canal na Prática/LEIA-ME (1).pdf,1nGfOKQ5wnMynrpko38aCY0sye9Qvte5j,application/pdf
1,leia-me.pdf,154159,26,CURSOS/💻 Curso Viver De Youtube - Peter Jordan/05. Criando Seu Canal na Prática/LEIA-ME.pdf,1SdpBCkLrfYR5FEnR5YwS0tCLtSb20SnA,application/pdf
1,leia-me.pdf,154159,26,CURSOS/💻 Curso Viver De Youtube - Peter Jordan/06. Como Ganhar Dinheiro no Youtube/LEIA-ME (1).pdf,1_S1ctj2feXABLiKP74-Qk5ye_-mRXt35,application/pdf
1,leia-me.pdf,154159,26,CURSOS/💻 Curso Viver De Youtube - Peter Jordan/06. Como Ganhar Dinheiro no Youtube/LEIA-ME.pdf,1FS-FZhxT-EGm921ExdQsakYqX87EqqOy,application/pdf
1,leia-me.pdf,154159,26,CURSOS/💻 Curso Viver De Youtube - Peter Jordan/07. Planejando Seus Conteúdos/LEIA-ME (1).pdf,12kY51jZrZ96PchYBUZs8nyTdrAEu-YEf,application/pdf
1,leia-me.pdf,154159,26,CURSOS/💻 Curso Viver De Youtube - Peter Jordan/07. Planejando Seus Conteúdos/LEIA-ME.pdf,1ik87238EcV7BgDqIOQ1zV0LvgkrILc4M,application/pdf
1,leia-me.pdf,154159,26,CURSOS/💻 Curso Viver De Youtube - Peter Jordan/08. Dicas de Performance/LEIA-ME (1).pdf,1r9QkIsKfDsELNC4T3PW4zqu1uTFpAuFr,application/pdf
1,leia-me.pdf,154159,26,CURSOS/💻 Curso Viver De Youtube - Peter Jordan/08. Dicas de Performance/LEIA-ME.pdf,14goVfmXrUq3SACtFXdRjUCty4CKpmBlo,application/pdf
1,leia-me.pdf,154159,26,CURSOS/💻 Curso Viver De Youtube - Peter Jordan/09. Produzindo e Publicando Seus Vídeos/LEIA-ME.pdf,12-L7b3wdanargr9Im9JMoummiaolNjXT,application/pdf
1,leia-me.pdf,154159,26,CURSOS/💻 Curso Viver De Youtube - Peter Jordan/10. Conhecendo e Dominando Analytics/LEIA-ME (1).pdf,1zw9d0Cn0JkKLIiJg8SD3LhfUY9-K8-hP,application/pdf
1,leia-me.pdf,154159,26,CURSOS/💻 Curso Viver De Youtube - Peter Jordan/10. Conhecendo e Dominando Analytics/LEIA-ME.pdf,1tgmRzcdyRg1NU6FXNnxMTV8btpl3dhnB,application/pdf
1,leia-me.pdf,154159,26,CURSOS/💻 Curso Viver De Youtube - Peter Jordan/11. Materiais Premium para Download/LEIA-ME (1).pdf,101PDRTYSW0b-mdz9makRI_z28SGVEo9c,application/pdf
1,leia-me.pdf,154159,26,CURSOS/💻 Curso Viver De Youtube - Peter Jordan/11. Materiais Premium para Download/LEIA-ME.pdf,1NkuXtEFPwRiVSZnTTEiMVFmjmTEtdb2J,application/pdf
1,leia-me.pdf,154159,26,CURSOS/💻 Curso Viver De Youtube - Peter Jordan/12. Dicas Complementares/LEIA-ME (1).pdf,15bTPy-quYDNJLKDoBQtKXhRUtPY9EvPL,application/pdf
