path,name,id,mimeType,size,modifiedTime
MATERIAL IDV - LÓGIKA CREATIVE-20250915T204950Z-1-001,MATERIAL IDV - LÓGIKA CREATIVE-20250915T204950Z-1-001,1ePSR9x_zBQr2MTFCgsnsUS92VKx_0NwQ,application/vnd.google-apps.folder,,2025-09-18T15:49:36.138Z
MATERIAL IDV - LÓGIKA CREATIVE-20250915T204950Z-1-001/APRESENTAÇÃO IDENTIDADE VISUAL - LÓGIKA CREATIVE.pdf,APRESENTAÇÃO IDENTIDADE VISUAL - LÓGIKA CREATIVE.pdf,1gtv_-IMu2mVxPChnM5s8Uvg7DpARAiMc,application/pdf,76414403,2025-09-18T13:48:19.000Z
MATERIAL IDV - LÓGIKA CREATIVE-20250915T204950Z-1-001/BOTTOM,BOTTOM,1ToV6IgL9YOg7B-9cz__ndfrFHHAeVQrR,application/vnd.google-apps.folder,,2025-09-18T15:49:36.966Z
MATERIAL IDV - LÓGIKA CREATIVE-20250915T204950Z-1-001/BOTTOM/BOTTOM - IMAGEM.png,BOTTOM - IMAGEM.png,1UnVmhXHTGr_VlZlKAlcC0bI5YlcpsXOQ,image/png,10196920,2025-09-03T13:58:36.000Z
MATERIAL IDV - LÓGIKA CREATIVE-20250915T204950Z-1-001/BOTTOM/BOTTOM - IMPRESSÃO.pdf,BOTTOM - IMPRESSÃO.pdf,1liSvhOI1mhGPTC1RrPPDI-NplKoKt7OE,application/pdf,4463653,2025-09-03T13:58:13.000Z
MATERIAL IDV - LÓGIKA CREATIVE-20250915T204950Z-1-001/CANECA,CANECA,1mcsGwN-uHSDBOm4n6X3nnIAtJAwSD6pF,application/vnd.google-apps.folder,,2025-09-18T15:49:36.964Z
MATERIAL IDV - LÓGIKA CREATIVE-20250915T204950Z-1-001/CANECA/CANECA - IMAGEM.png,CANECA - IMAGEM.png,1JTMXU_soCmCbeD56RRNlhMagmpMlchKD,image/png,14147555,2025-09-03T14:05:47.000Z
MATERIAL IDV - LÓGIKA CREATIVE-20250915T204950Z-1-001/CANECA/CANECA - IMPRESSÃO.pdf,CANECA - IMPRESSÃO.pdf,1utSthehbRzxhvko2HFByegxBx01zJix0,application/pdf,292091,2025-09-03T14:05:31.000Z
MATERIAL IDV - LÓGIKA CREATIVE-20250915T204950Z-1-001/CARTÃO DE VISITA,CARTÃO DE VISITA,1dh8u2M1e2wawWkmzlA5qVlguyKtS7KDM,application/vnd.google-apps.folder,,2025-09-18T15:49:36.963Z
MATERIAL IDV - LÓGIKA CREATIVE-20250915T204950Z-1-001/CARTÃO DE VISITA/CARTÃO DE VISITA LOGIKA - FRENTE.pdf,CARTÃO DE VISITA LOGIKA - FRENTE.pdf,1IKL4cn37HIsdUt99dMzeY9i6BGBX80FT,application/pdf,230166,2025-09-03T13:00:57.000Z
