path,name,id,mimeType,size,modifiedTime
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 05 - Textos e Paths/Materiais/36 MaquinadeEscrever.rar,36 MaquinadeEscrever.rar,1XYXcwb-XWqx1tcreIrvPADRqo1BEAMN2,application/rar,2368790,2024-01-21T02:26:56.000Z
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 05 - Textos e Paths/Materiais/37 Assinatura.rar,37 Assinatura.rar,16-9Gjd1uJ6IN4C6rMUqfP-DO3lFnKJdV,application/rar,755218,2024-01-21T02:26:54.000Z
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 05 - Textos e Paths/Materiais/38 QuintaSerie.rar,38 QuintaSerie.rar,1TU9lRwmiMtGoScCzh6gaC6o_mQtAeOBe,application/rar,57705,2024-01-21T02:26:50.000Z
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 05 - Textos e Paths/Materiais/39 Bomba.rar,39 Bomba.rar,1UD5l5lFWK8m1EAmEjDjDBKpQ6zmEanND,application/rar,18922,2024-01-21T02:26:52.000Z
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 05 - Textos e Paths/Materiais/40 Festa.rar,40 Festa.rar,1PpvlBU8kbyRAc3vbBjSYwcaEperWnBnk,application/rar,8341,2024-01-21T02:26:52.000Z
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 05 - Textos e Paths/Materiais/41 CrisedeIdentidade.rar,41 CrisedeIdentidade.rar,11ohNJF8Rym_7tH9GMaA55yTiWPhykqXO,application/rar,6352,2024-01-21T02:26:48.000Z
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 06 - VFX,Módulo 06 - VFX,1mSsR2s59sR7Ck68YRBMARF2qsbE5hxGw,application/vnd.google-apps.folder,,2026-07-05T23:00:14.000Z
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 06 - VFX/42 - Masking I - Básico.MP4,42 - Masking I - Básico.MP4,10iVSj_JF0b8Lm1aVx2A2Mz2nnE-XGX-2,video/mp4,31759213,2024-01-21T02:01:04.000Z
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 06 - VFX/43 - Masking II - Animação e Propriedades.MP4,43 - Masking II - Animação e Propriedades.MP4,1eia1kTtr9cUTyt9kRp-5Neok6waDGuAc,video/mp4,28618959,2024-01-21T02:00:10.000Z
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 06 - VFX/44 - Chroma Key - KeyLight.MP4,44 - Chroma Key - KeyLight.MP4,1_KcHQGmtKzcPjQQkJ2u30mRTVkWL_Two,video/mp4,58862345,2024-01-21T02:00:06.000Z
