nome_normalizado,quantidade,ids,caminhos
c0032.mp4,2,1At6_VK3-WKB6sB-WGGGzO9ctU1pOcw6P | 1horNxh2TQuuDm0qQdn9fi4oWyKzCmzhR,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0032.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0032.MP4
c0033.mp4,2,1sonoc4FC9uOURdgaj-iduYdsgXrYe61l | 1THuBbW5EuvXBn9uPOwtvK5O5I08D52Zn,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0033.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0033.MP4
c0034.mp4,2,16URVXu_K_sZJzpuUpagufp6veGutltHB | 1gQRO8PGZHoJ8Lf8lHop-4AASHnixVCBj,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0034.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0034.MP4
c0035.mp4,2,1cNHYLVgM_TvUdNQaR9aKsbu7MSNU9uzG | 1UaGwFiixaqQB7GCKUl0tK9qXg8roDVkb,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0035.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0035.MP4
c0036.mp4,2,1k95wUl6df4BajEQLvTpiDReSEuXRDWZ0 | 1eYw__oMmOHKZLq1s3WzTaKZ3ISLfWx0R,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0036.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0036.MP4
c0037.mp4,2,18vtQpL0CG0WUGmu5EFs-7uUxRjVS9mqB | 1LaH1JORLFD9UzUIr5xGaqCKkRkpc0Vsv,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0037.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0037.MP4
c0038.mp4,2,1Lk49moBuU7PjBj2z1b0A3BUjokrEaqL5 | 1xOUSSAGWw4QKS2dInmAYCNFKY4m0cvxD,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0038.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0038.MP4
c0041.mp4,2,1ZzzaxiFKkkuM0RC5Huv3oZWtzhEA40Su | 1c0zcMPXtHpDRNVnMEfuqbtfuZqD6B6KG,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0041.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0041.MP4
c0044.mp4,2,1xbgRYyCTUyQjx7qzRSPvqogiCzuKHY9X | 1tTrRVU4gkTpivJe_TlIHF1aKjsV_dN6X,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0044.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0044.MP4
c0046.mp4,2,1DN_t6jP-7V_1OwTaFSNoxQ9GKrwgCrCP | 1H_F6PTtDYd2Wl4EtPvnfd2A6BXzuJ7JX,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0046.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0046.MP4
c0047.mp4,2,1gbEj-8kpr7I1LBCYatxSoSk_i6yB4yrR | 1KgLgK0OMnqMrbTMiY7LgQt4fwCVGTzy0,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0047.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0047.MP4
c0048.mp4,2,1P96nCIsxqrRM5Ihc5rXZAGBy3sB3oAxm | 18rfCw-NsyPPiwtjzuK6KUrJ7kY19dssl,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0048.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0048.MP4
c0049.mp4,2,1y-xHHez3UWvs6LEBihIfOkSPML73qjwm | 1rekC56MEn8RGK8FShKzOAFxKQjhO5YSs,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0049.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0049.MP4
